"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm70000001","中国民用航空局","http://www.caac.gov.cn/","中国民用航空局综合司","正常"
"2","bm70010001","中国民用航空华北地区管理局","http://hb.caac.gov.cn/","中国民用航空华北地区管理局办公室","正常"
"3","bm70020001","中国民用航空东北地区管理局","http://db.caac.gov.cn","中国民用航空东北地区管理局办公室","正常"
"4","bm70030001","中国民用航空华东地区管理局","http://hd.caac.gov.cn","中国民用航空华东地区管理局办公室","正常"
"5","bm70040001","中国民用航空中南地区管理局","http://zn.caac.gov.cn/","中国民用航空中南地区管理局办公室","正常"
"6","bm70050001","中国民用航空西南地区管理局","http://xn.caac.gov.cn/","中国民用航空西南地区管理局办公室","正常"
"7","bm70060001","中国民用航空西北地区管理局","http://xb.caac.gov.cn","中国民用航空西北地区管理局办公室","正常"
"8","bm70070001","中国民用航空新疆管理局","http://xj.caac.gov.cn/","中国民用航空新疆管理局办公室","正常"
