"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm30000012","国家市场监督管理总局","http://www.samr.gov.cn/","市场监管总局办公厅","正常"
"2","bm30000013","国家企业信用信息公示系统","http://www.gsxt.gov.cn/index.html","国家工商行政管理总局企业监管局","正常"
"3","bm31360001","中国国家认证认可监督管理委员会","http://www.cnca.gov.cn","国家认证认可监督管理委员会","正常"
"4","bm31370001","国家标准化管理委员会","www.sac.gov.cn","国家标准化管理委员会","正常"
