"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm15000001","全国人力资源和社会保障政务服务平台","http://zwfw.mohrss.gov.cn/","人力资源和社会保障部","正常"
"2","bm15000003","国家专业技术人才知识更新工程","http://zsgx.mohrss.gov.cn","中华人民共和国人力资源和社会保障部","正常"
"3","bm15000004","世界技能大赛中国组委会官方网站","worldskillschina.mohrss.gov.cn","人力资源社会保障部职业能力建设司","正常"
"4","bm15000005","中国人力资源市场网","https://chrm.mohrss.gov.cn","人力资源和社会保障部","正常"
"5","bm15000006","中国就业网","chinajob.mohrss.gov.cn","人力资源和社会保障部","正常"
"6","bm15000008","中华人民共和国人力资源和社会保障部","http://www.mohrss.gov.cn/","中华人民共和国人力资源和社会保障部","正常"
"7","bm15000009","中国公共招聘网","http://www.job.mohrss.gov.cn/","人力资源和社会保障部","正常"
"8","bm15000010","中国人事考试网","http://cpta.mohrss.gov.cn","人力资源和社会保障部办公厅","正常"
"9","bm15000011","技能人才评价工作网","http://osta.mohrss.gov.cn","人力资源和社会保障部办公厅","正常"
