id,schoolName,location,tags,urls,cert
1502,安徽职业技术学院,安徽合肥市,专科（高职）;综合类;公办;国家示范性高等职业院校;现代学徒制试点院校,http://www.uta.edu.cn/zsw/;https://www.uta.edu.cn/,NULL
1503,淮北职业技术学院,安徽淮北市,专科（高职）;综合类;公办,http://www.hbtc.edu.cn/content/channel/5b6bd5447f8b9aad45cc1e34/;http://www.hbtc.edu.cn/,NULL
1504,芜湖职业技术学院,安徽芜湖市,专科（高职）;理工类;公办;国家示范性高等职业院校;现代学徒制试点院校;高水平学校建设单位（C档）,http://zs.whit.edu.cn/;http://www.whit.edu.cn/,NULL
1505,淮南联合大学,安徽淮南市,专科（高职）;综合类;公办,http://zsw.hnuu.edu.cn/;http://www.hnuu.edu.cn,NULL
1506,安徽商贸职业技术学院,安徽芜湖市,专科（高职）;财经类;公办;国家级骨干;现代学徒制试点院校;高水平专业群建设单位（A档）,https://www.abc.edu.cn/zhaoshengxx;http://www.abc.edu.cn/,NULL
1507,安徽水利水电职业技术学院,安徽合肥市,专科（高职）;理工类;公办;国家示范性高等职业院校;现代学徒制试点院校;高水平专业群建设单位（B档）,https://zsxxw.ahsdxy.edu.cn/;https://www.ahsdxy.edu.cn/,NULL
1508,阜阳职业技术学院,安徽阜阳市,专科（高职）;理工类;公办;国家级骨干,http://zsxxw.fyvtc.edu.cn/;http://www.fyvtc.edu.cn/,NULL
1509,铜陵职业技术学院,安徽铜陵市,专科（高职）;理工类;公办,http://www.tlpt.net.cn/zsjy/zszt/index.html;http://www.tlpt.edu.cn/,NULL
1510,安徽警官职业学院,安徽合肥市,专科（高职）;政法类;公办,http://www.ahjgxy.edu.cn/zsjyw/;http://www.ahjgxy.edu.cn/,NULL
1511,淮南职业技术学院,安徽淮南市,专科（高职）;理工类;公办;现代学徒制试点院校,http://zsxxw.hnvtc.edu.cn/;http://www.hnvtc.edu.cn/,NULL
1512,安徽工业经济职业技术学院,安徽合肥市,专科（高职）;财经类;公办,http://ahzsw.ahiec.net/;http://www.ahiec.edu.cn/,NULL
1513,合肥通用职业技术学院,安徽合肥市,专科（高职）;理工类;公办,http://www.hftyxy.com/zs/www/index.asp;http://www.hftyxy.com/,NULL
1514,安徽工贸职业技术学院,安徽淮南市,专科（高职）;理工类;公办,http://www.ahgmedu.cn/zs/;http://www.ahgmedu.cn/,NULL
1515,宿州职业技术学院,安徽宿州市,专科（高职）;综合类;公办,http://www.szzy.edu.cn/zsxxw/index.aspx;http://www.szzy.edu.cn/,NULL
