"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","bm84000001","中华人民共和国退役军人事务部","http://www.mva.gov.cn","退役军人事务部","正常"
"2","bm84000002","中国双拥网","http://sy.mva.gov.cn/","中华人民共和国退役军人事务部","正常"
"3","bm84000003","中华英烈网","http://www.chinamartyrs.gov.cn/","退役军人事务部褒扬纪念司","正常"
